customer_id,purchase_frequency,avg_order_value,total_spend_6m,recency_days,product_categories_used,returns_ratio,email_open_rate,app_sessions_per_month,support_tickets_6m,campaign_response_rate,last_promotion_used,customer_satisfaction_score,payment_method
CUST001662,14.0,114.32,1610.84,162.0,3,0.2156,,,0,0.4797,Discount,50.0,Credit Card
CUST013618,3.0,100.64,293.62,86.0,1,0.1751,0.6231,33.0,7,0.1093,Cashback,,Debit Card
CUST000447,7.0,41.08,260.0,72.0,6,0.1391,0.4749,23.0,0,0.695,Discount,67.5,Credit Card
CUST003152,,41.82,1280.98,111.0,2,0.4328,0.2107,50.0,9,0.2815,Cashback,,Credit Card
CUST004127,1.0,462.48,490.15,152.0,1,0.3355,,54.0,9,0.0,Discount,23.5,Credit Card
CUST007300,15.0,134.19,1865.87,113.0,2,0.4158,0.5389,17.0,4,0.3423,,59.5,Debit Card
CUST019287,6.0,142.48,790.26,2.0,3,0.0112,0.5267,,5,0.97,Cashback,0.0,Credit Card
CUST014052,6.0,92.8,535.43,126.0,4,0.2364,0.0,40.0,12,0.2609,Free Shipping,23.5,Credit Card
CUST003951,23.0,47.03,1138.59,41.0,1,0.4839,0.786,37.0,8,0.6293,Cashback,53.5,Debit Card
CUST010847,1.0,19.11,20.93,48.0,1,0.1184,0.4616,13.0,0,0.4792,Free Shipping,64.0,Debit Card
CUST012205,9.0,62.37,578.63,183.0,4,0.3208,0.8398,60.0,0,0.4149,No Promotion,91.0,Credit Card
CUST018269,10.0,277.23,2498.5,78.0,3,0.153,0.4544,57.0,2,0.6993,Free Shipping,13.5,COD
CUST014950,1.0,26.83,28.79,1.0,1,0.1751,0.98,10.0,0,0.821,No Promotion,69.0,COD
CUST006339,1.0,30.0,32.39,170.0,1,,0.8445,56.0,0,0.0,No Promotion,,Wallet
CUST004774,19.0,397.18,7273.11,1.0,5,0.0645,0.5114,38.0,12,0.4248,Free Shipping,46.5,Credit Card
CUST016007,8.0,118.66,1034.16,22.0,6,0.5618,0.777,43.0,0,0.6392,Free Shipping,58.0,Wallet
CUST002632,1.0,255.11,270.63,36.0,1,0.0701,0.1074,16.0,3,0.2095,No Promotion,36.5,Debit Card
CUST013351,10.0,173.58,1739.63,82.0,1,0.2899,0.1481,60.0,9,0.3589,No Promotion,59.0,COD
CUST013974,13.0,50.95,710.41,183.0,4,0.3477,0.9166,,0,0.7485,No Promotion,66.5,Debit Card
CUST017753,20.0,356.22,6499.24,60.0,4,0.3109,0.48,60.0,0,0.7734,Discount,67.5,Credit Card
CUST006265,14.0,90.06,1154.02,163.0,5,0.309,0.0,11.0,3,0.7253,No Promotion,79.5,Debit Card
CUST008767,28.0,53.53,1395.44,183.0,5,0.0044,0.5903,51.0,15,0.2968,No Promotion,0.0,Debit Card
CUST002775,2.0,958.05,1825.88,15.0,2,,0.5962,20.0,1,0.7848,Discount,66.0,Wallet
CUST018037,1.0,33.28,34.52,114.0,1,0.1942,0.3654,49.0,13,0.5011,Free Shipping,50.0,Credit Card
CUST011941,10.0,29.61,298.01,126.0,2,0.1133,0.3854,5.0,0,0.6406,Discount,65.5,Debit Card
CUST016434,22.0,56.93,1233.93,151.0,5,0.1712,0.6543,47.0,4,0.212,,50.0,Credit Card
CUST013032,30.0,56.76,1799.0,78.0,1,0.107,0.1593,11.0,0,0.6747,No Promotion,34.0,Credit Card
CUST013458,4.0,33.63,129.6,1.0,4,0.5629,0.0568,,1,0.3568,Discount,40.5,Debit Card
CUST018860,24.0,23.11,508.64,111.0,2,0.461,0.0,23.0,0,0.7466,No Promotion,61.5,Debit Card
CUST015803,7.0,226.1,1550.02,183.0,4,0.6764,0.662,19.0,0,0.7085,Discount,5.0,Credit Card
CUST006375,6.0,258.19,1631.67,183.0,1,0.0,0.0448,0.0,11,0.5956,Cashback,22.5,Credit Card
CUST012879,2.0,36.19,72.01,98.0,2,0.3038,0.2478,60.0,10,0.5554,Discount,65.5,Credit Card
CUST017787,5.0,63.69,348.84,138.0,3,0.1204,0.715,60.0,6,0.5008,Cashback,29.5,Wallet
CUST006990,8.0,98.95,847.98,53.0,1,0.3298,0.4975,19.0,11,0.243,No Promotion,27.0,Debit Card
CUST012051,24.0,176.56,4483.97,,3,0.0,0.5919,45.0,5,0.2614,No Promotion,37.5,Wallet
CUST019664,1.0,12.14,13.31,,1,0.4791,0.736,,0,0.4911,No Promotion,,COD
CUST001093,28.0,15.71,447.02,80.0,7,0.1407,0.8087,38.0,4,0.9116,,,COD
CUST015198,1.0,568.51,573.13,124.0,1,0.0866,0.6526,31.0,0,0.3577,Cashback,,Credit Card
CUST005032,4.0,216.3,880.75,91.0,3,0.5464,0.0,13.0,0,0.2983,Cashback,68.0,Credit Card
CUST010819,6.0,34.45,201.43,1.0,2,0.5827,0.4462,31.0,0,0.423,Cashback,56.0,Debit Card
CUST012548,14.0,27.23,358.02,161.0,1,0.125,0.0,0.0,10,0.328,Free Shipping,23.0,Wallet
CUST008936,,67.89,126.81,176.0,3,0.0,0.6955,16.0,3,0.2047,Free Shipping,41.0,Debit Card
CUST013235,35.0,193.91,6611.87,18.0,7,0.2042,,8.0,16,0.3823,No Promotion,,Debit Card
CUST013704,,301.63,3944.89,12.0,2,0.0,0.5913,0.0,0,0.4465,No Promotion,49.5,COD
CUST013900,39.0,40.42,1728.65,125.0,6,0.1381,0.5017,60.0,26,0.8296,No Promotion,85.0,Wallet
CUST013067,4.0,343.29,1345.34,174.0,2,0.4825,0.5012,,11,0.3198,,49.5,Credit Card
CUST004120,7.0,143.53,972.71,142.0,6,,0.0424,17.0,2,0.6135,Discount,0.0,Credit Card
CUST005872,,166.6,975.36,1.0,2,,0.2426,14.0,1,0.3474,Cashback,60.5,COD
CUST013304,11.0,114.76,1256.12,1.0,4,0.0188,0.4322,5.0,9,0.6693,No Promotion,47.0,Debit Card
CUST007973,17.0,168.42,2951.34,110.0,3,0.1864,0.2157,0.0,13,0.5232,Cashback,,Credit Card
CUST008325,11.0,162.71,1722.79,183.0,2,0.2397,,12.0,1,0.6194,,48.0,COD
CUST004859,12.0,103.45,1237.86,9.0,5,,0.0953,0.0,0,0.97,Cashback,21.0,Credit Card
CUST010991,36.0,69.39,2516.52,151.0,4,0.5161,0.5739,60.0,25,0.97,Cashback,42.0,Wallet
CUST011652,12.0,35.87,411.08,,4,,0.328,6.0,5,0.6297,Discount,73.5,Wallet
CUST008578,13.0,162.74,1914.02,26.0,3,0.0941,0.3165,0.0,13,0.5548,Discount,56.5,Credit Card
CUST010540,2.0,879.66,1659.26,1.0,2,0.2723,0.2322,0.0,2,0.0581,Discount,,COD
CUST007403,42.0,61.8,2753.06,92.0,8,0.1297,0.3976,0.0,7,0.2244,Discount,88.0,Credit Card
CUST000482,34.0,64.57,2097.88,101.0,7,0.3721,0.0,0.0,14,0.0289,Cashback,29.0,COD
CUST007204,9.0,186.8,1517.73,114.0,3,0.2428,0.0,46.0,1,0.0996,No Promotion,73.0,Wallet
CUST000965,1.0,102.21,110.47,26.0,1,0.2926,0.3788,11.0,0,0.8768,No Promotion,63.5,Debit Card
CUST012721,31.0,87.48,2810.81,77.0,4,0.1747,0.8609,60.0,0,0.5661,No Promotion,61.5,Wallet
CUST000377,32.0,78.97,2654.65,183.0,4,0.1057,0.1613,44.0,8,0.0,Discount,93.5,Debit Card
CUST016637,7.0,106.61,733.41,,1,0.2537,0.6693,13.0,7,0.0,No Promotion,42.5,Credit Card
CUST016083,15.0,170.38,2592.4,69.0,1,0.5119,0.5316,60.0,1,0.8161,No Promotion,31.5,Credit Card
CUST012562,21.0,86.54,1906.53,118.0,4,0.1667,0.0,,7,0.4258,Cashback,80.5,Debit Card
CUST015756,39.0,75.71,3182.59,,8,0.0652,0.1128,0.0,29,0.2628,No Promotion,,Debit Card
CUST008822,42.0,208.26,8991.57,,5,0.0,,,2,0.97,Discount,25.5,Debit Card
CUST009417,4.0,21.04,87.37,124.0,2,0.3066,0.4411,43.0,0,0.4578,Cashback,65.0,Credit Card
