customer_id,age,gender,region,income_tier,education_level,marital_status,tenure_months,contract_type,preferred_channel,loyalty_tier,churn
CUST001662,50.0,Male,NORTH,Mid,Graduate,Divorced,25,Monthly,In-store,Silver,0
CUST013618,34.0,Male,Central,Low,Post-Graduate,Single,18,Monthly,Web,Silver,1
CUST000447,,F,North,Mid,Post-Graduate,Married,67,Annual,App,Bronze,0
CUST003152,41.0,Male,west,Low,Graduate,Single,38,Monthly,Phone,Gold,1
CUST004127,38.0,Male,South ,Low,Graduate,Widowed,11,Annual,Web,,1
CUST007300,24.0,MALE,central,Low,High School,Married,13,Monthly,Phone,,0
CUST019287,41.0,male,north ,High,Graduate,Divorced,31,Annual,In-store,Gold,0
CUST014052,42.0,Female,EAST,High,High School,Married,38,Multi-year,Web,Silver,1
CUST003951,58.0,Male,CENTRAL,Low,Graduate,Married,19,Monthly,Web,Silver,0
CUST010847,56.0,Male,SOUTH,Low,Post-Graduate,Single,3,Multi-year,Web,Bronze,0
CUST012205,,Female,Central,Mid,Post-Graduate,Married,18,Annual,Web,Silver,0
CUST018269,35.0,MALE,NORTH,Mid,High School,Divorced,17,Annual,In-store,,0
CUST014950,55.0,Female,EAST,Mid,Post-Graduate,Single,36,Monthly,App,Gold,1
CUST006339,49.0,Male,EAST,High,High School,Divorced,21,Annual,Web,Platinum,0
CUST004774,49.0,Male,west,Mid,Graduate,Married,26,Monthly,Phone,Silver,0
CUST016007,41.0,Male,East,High,Graduate,Married,33,Annual,Phone,Silver,0
CUST002632,36.0,Female,south,Mid,High School,Married,23,multiyear,In-store,Bronze,1
CUST013351,49.0,Non-binary,EAST,Mid,Graduate,Divorced,44,Monthly,Web,Silver,1
CUST013974,55.0,Male,South ,Mid,,Married,57,Annual,Web,Gold,1
CUST017753,41.0,Female,Central,High,High School,Married,2,Multi year,App,Platinum,0
CUST006265,34.0,Female,Central,Mid,High School,Single,80,Annual,Web,Bronze,0
CUST008767,35.0,Female,East,Mid,Graduate,Single,19,Monthly,Phone,Silver,0
CUST002775,45.0,male,East,Low,Graduate,Widowed,37,Monthly,Phone,Bronze,0
CUST018037,62.0,F,North,High,Post-Graduate,Married,66,Monthly,Web,Gold,1
CUST011941,57.0,Male,WEST,High,Graduate,Single,10,Multi-year,Web,Bronze,0
CUST016434,47.0,Female,EAST,Mid,High School,Single,22,Monthly,Web,Bronze,0
CUST013032,36.0,Female,north ,,High School,Single,78,Monthly,Web,Silver,0
CUST013458,37.0,Female,EAST,Mid,High School,Single,16,Monthly,App,Silver,0
CUST018860,27.0,Female,SOUTH,Mid,Graduate,Married,58,Monthly,Phone,Bronze,0
CUST015803,37.0,Male,north ,Mid,Post-Graduate,Married,18,Annual,Web,Bronze,0
CUST006375,,Female,central,Mid,Post-Graduate,Married,15,Multi-year,Web,Gold,1
CUST012879,49.0,Female,EAST,Mid,Doctorate,Married,6,Monthly,Phone,Silver,0
CUST017787,34.0,Male,south,Mid,Graduate,Single,50,Multi year,Web,Bronze,0
CUST006990,24.0,Female,CENTRAL,High,Graduate,Single,36,Multi-year,App,Silver,1
CUST012051,35.0,M,East,Mid,Doctorate,Divorced,20,Annual,In-store,Bronze,0
CUST019664,35.0,FEMALE,NORTH,Low,,Single,51,Monthly,In-store,Platinum,0
CUST001093,63.0,male,East,High,Graduate,Single,11,Annual,App,Gold,1
CUST015198,44.0,Female,CENTRAL,Mid,Post-Graduate,Married,22,Monthly,App,Gold,0
CUST005032,40.0,Male,central,Mid,,Single,48,Monthly,Phone,Bronze,0
CUST010819,24.0,F,Central,Low,Graduate,Divorced,42,Monthly,In-store,,0
CUST012548,37.0,Male,north ,Low,Graduate,Single,59,Monthly,App,Silver,0
CUST008936,60.0,Female,north,Low,Post-Graduate,Divorced,23,Monthly,In-store,Silver,1
CUST013235,55.0,male,West,Mid,High School,Single,18,multiyear,Phone,Gold,0
CUST013704,44.0,Female,Central,High,High School,Married,16,Annual,App,Silver,0
CUST013900,47.0,MALE,WEST,Low,High School,Single,27,Annual,Phone,Silver,0
CUST013067,47.0,male,north,High,Graduate,Single,24,Annual,App,Platinum,1
CUST004120,36.0,male,WEST,Mid,High School,Married,39,Annual,In-store,Bronze,0
CUST005872,65.0,Male,central,High,Post-Graduate,Single,24,Monthly,Web,Gold,0
CUST013304,18.0,female,West,Mid,Graduate,Married,56,Monthly,App,Bronze,0
CUST007973,,Male,west,High,High School,Divorced,23,Multi-year,App,Bronze,0
CUST008325,41.0,Male,NORTH,Mid,Graduate,Single,42,Annual,App,Gold,1
CUST004859,,Male,north,High,Post-Graduate,Married,30,Monthly,In-store,Platinum,0
CUST010991,41.0,Male,NORTH,Low,Graduate,Single,20,Annual,App,Platinum,1
CUST011652,,Male,south,Low,Graduate,Married,5,Monthly,App,Bronze,0
